Language,Tokenizer,Model Size,Seed,Eval Loss,Accuracy,F1,Perplexity,Top5 Accuracy,Top10 Accuracy,TTR,Avg Token Length
,,,AVG,4.850207806,0.003559334846,0.003576320694,128.0253667,0.02002456242,0.04569633964,0.4673546922,1.677125
Chinese,Trailing,14m,42,4.768887043,0.003947096656,0.003981477284,117.7880759,0.01907732073,0.04244131286,0.4699257772,1.6738125
Chinese,Trailing,14m,356,4.897026539,0.00430245183,0.004222344376,133.8910673,0.02102581627,0.04784697329,0.4699257772,1.6738125
Chinese,Trailing,14m,4329,4.776386261,0.004009399884,0.004023998083,118.6747148,0.01951231615,0.04380923302,0.4699257772,1.6738125
Chinese,Trailing,14m,5545,4.996384144,0.003446188368,0.003368457327,147.8774875,0.0204050786,0.04724149273,0.4699257772,1.6738125
Chinese,Trailing,14m,9336,4.82775259,0.004179133574,0.004109689295,124.9298763,0.02021591457,0.0462442922,0.4699257772,1.6738125
,,,AVG,4.853287315,0.003976854062,0.003941193273,128.6322444,0.02004728926,0.04551666082,0.4699257772,1.6738125
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Finnish,Leading,60m,42,4.082265377,0.000856098684,0.0008530242417,59.27960852,0.003682333432,0.008441609633,0.5944630783,5.7659375
Finnish,Leading,60m,356,4.097229481,0.0008313689426,0.00083623163,60.17334503,0.003600163246,0.00828435096,0.5944630783,5.7659375
Finnish,Leading,60m,4329,4.130140305,0.0008508904505,0.0008467362229,62.18664739,0.003632574195,0.008358277899,0.5944630783,5.7659375
Finnish,Leading,60m,5545,4.074774265,0.0008018805994,0.0007976131665,58.83719749,0.003611628854,0.008248380427,0.5944630783,5.7659375
Finnish,Leading,60m,9336,4.066176414,0.0008217018618,0.0008268781837,58.33349254,0.003603685361,0.008300013129,0.5944630783,5.7659375
,,,AVG,4.090117168,0.0008323881077,0.000832096689,59.7620582,0.003626077018,0.00832652641,0.5944630783,5.7659375
,,,,,,,,,,,
Finnish,Trailing,60m,42,4.105010509,0.001351017756,0.0009842715945,60.64338188,0.005284354891,0.01100135361,0.599566981,5.6199375
Finnish,Trailing,60m,356,4.11874485,0.001428827615,0.00103752958,61.48202466,0.005474264971,0.01124682608,0.599566981,5.6199375
Finnish,Trailing,60m,4329,4.175604343,0.001438244333,0.001022357079,65.07915794,0.005805463348,0.01182814901,0.599566981,5.6199375
Finnish,Trailing,60m,5545,4.132637501,0.001349892252,0.0009519863741,62.34213371,0.005536692938,0.01142867004,0.599566981,5.6199375
Finnish,Trailing,60m,9336,4.120761395,0.001391648459,0.001004743304,61.60613098,0.005361601998,0.01119546557,0.599566981,5.6199375
,,,AVG,4.13055172,0.001391926083,0.001000177586,62.23056583,0.005492475629,0.01134009286,0.599566981,5.6199375
,,,,,,,,,,,
English,Leading,60m,42,3.934834719,0.001717587504,0.001764397067,51.15369451,0.007123424026,0.01453611795,0.466583993,5.726125
English,Leading,60m,356,3.966497898,0.001750679003,0.001787371584,52.79929815,0.006938844796,0.01410523493,0.466583993,5.726125
English,Leading,60m,4329,3.985413551,0.001688657212,0.001721864975,53.80753706,0.007164078352,0.01440444549,0.466583993,5.726125
English,Leading,60m,5545,3.93832159,0.001668775892,0.001718554012,51.33237221,0.006964868849,0.01386801314,0.466583993,5.726125
English,Leading,60m,9336,3.973773479,0.001756425431,0.001784798734,53.18484458,0.007249217957,0.0147937825,0.466583993,5.726125
,,,AVG,3.959768248,0.001716425008,0.001755397274,52.4555493,0.007088086796,0.0143415188,0.466583993,5.726125
,,,,,,,,,,,
